The_Queen's_Gambit_(miniseries)	Harry_Melling_(actor)	92398	1.0	1.0
Judy_Garland	Liza_Minnelli	91933	1.0	1.0
BTS	Kim_Seok-jin	91722	1.0	1.0
Anthony_Eden	Harold_Macmillan	91660	1.0	1.0
2004_United_States_presidential_election	2008_United_States_presidential_election	91609	1.0	1.0
2000_United_States_presidential_election	2004_United_States_presidential_election	91251	1.0	1.0
Christian_Serratos	David_Boyd_(singer)	90760	1.0	1.0
Tom_Cruise	Tom_Cruise_filmography	90500	1.0	1.0
A_Christmas_Story	Peter_Billingsley	90411	1.0	1.0
List_of_The_Masked_Singer_(American_TV_series)_episodes	The_Masked_Singer_(American_season_4)	90262	1.0	1.0
Happiest_Season	Mackenzie_Davis	89949	1.0	1.0
Dan_Levy_(Canadian_actor)	Eugene_Levy	89947	1.0	1.0
Grogu	List_of_Star_Wars_characters	89816	1.0	1.0
Juno_(film)	Elliot_Page	89605	1.0	1.0
Elizabeth_II	Annus_horribilis	89298	1.0	1.0
Prince_William,_Duke_of_Cambridge	Prince_George_of_Cambridge	88908	1.0	1.0
Zooey_Deschanel	Ben_Gibbard	88846	1.0	1.0
1992_United_States_presidential_election	1996_United_States_presidential_election	88797	1.0	1.0
Bridgerton	Nicola_Coughlan	87727	1.0	1.0
Elizabeth_II	Princess_Margaret,_Countess_of_Snowdon	87726	1.0	1.0
Gilligan's_Island	Bob_Denver	87711	1.0	1.0
Wonder_Woman_1984	Lynda_Carter	87683	1.0	1.0
Cameron_Diaz	Benji_Madden	87586	1.0	1.0
John_Lennon	Mark_David_Chapman	87568	1.0	1.0
Evermore_(Taylor_Swift_album)	Folklore_(Taylor_Swift_album)	87563	1.0	1.0
John_Travolta	Kelly_Preston	87536	1.0	1.0
Edward_Snowden	Lindsay_Mills	87401	1.0	1.0
Charles_II_of_England	James_II_of_England	87368	1.0	1.0
Andrew_Rannells	Tuc_Watkins	87151	1.0	1.0
Noel_Fielding	Lliana_Bird	87110	1.0	1.0
Schitt's_Creek	Dan_Levy_(Canadian_actor)	86416	1.0	1.0
2004_United_States_presidential_election	2000_United_States_presidential_election	85931	1.0	1.0
Leonardo_DiCaprio	Bar_Refaeli	85907	1.0	1.0
The_Christmas_Chronicles	The_Christmas_Chronicles_2	85770	1.0	1.0
Pentatonix	Avi_Kaplan	85736	1.0	1.0
Barry_Gibb	Robin_Gibb	85725	1.0	1.0
Zooey_Deschanel	Jonathan_Scott_(television_personality)	85424	1.0	1.0
George_VI	George_V	85187	1.0	1.0
Evermore_(Taylor_Swift_album)	Willow_(song)	85182	1.0	1.0
Logan_Paul	KSI_(entertainer)	84852	1.0	1.0
Phoebe_Dynevor	Sally_Dynevor	84566	1.0	1.0
UFC_Fight_Night:_Holloway_vs._Kattar	UFC_Fight_Night_185	84545	1.0	1.0
Sarah_Paulson	Holland_Taylor	84389	1.0	1.0
Kwanzaa	Maulana_Karenga	84285	1.0	1.0
