Vanessa_Kirby	173522	0.4491	0.6667
1996_United_States_presidential_election	173396	0.8199	0.9677
Charlotte_of_Mecklenburg-Strelitz	172661	0.3138	0.8773
Richard_Nixon	171931	0.4378	0.9779
Franklin_D._Roosevelt	171922	0.3258	0.9696
1992_United_States_presidential_election	171809	0.7314	0.9633
2021_Formula_One_World_Championship	171107	0.3298	0.7546
Alec_Baldwin	171018	0.2493	0.9204
Chris_Pine	170548	0.2969	0.8314
George_W._Bush	170454	0.4514	0.9863
Kenneth_Branagh	170045	0.5809	0.9638
Claire_Foy	170026	0.3934	0.6557
Tom_Cruise	169871	0.2191	0.8429
Gina_Carano	169838	0.1721	0.7411
Kelly_Preston	169627	0.2452	0.6972
Mark_David_Chapman	167863	0.354	0.8676
Nicole_Kidman	167818	0.2016	0.8792
Pansexuality	167313	0.4581	0.9029
Catherine_of_Aragon	166657	0.2763	0.8559
Juno_(film)	166513	0.4308	0.8561
Peter_Phillips	165750	0.8227	0.875
George_II_of_Great_Britain	165662	0.864	0.9724
Rachel_House_(actress)	165633	0.6967	0.8125
Magnus_Carlsen	165587	0.4041	0.8592
Emma_Thompson	164585	0.4645	0.9362
List_of_Star_Wars_films	163053	0.277	0.8052
Bill_Hudson_(singer)	162969	0.7606	0.7727
Rosario_Dawson	162800	0.2939	0.8631
House_of_Windsor	162539	0.5609	0.8402
Alison_Brie	162523	0.4367	0.7824
Jake_Paul	162472	0.1785	0.5214
Harold_Macmillan	162034	0.5231	0.916
Archie_Mountbatten-Windsor	161686	0.7545	0.8125
Mary,_Queen_of_Scots	161591	0.2314	0.9028
Kate_Mara	161523	0.3551	0.9037
Democratic_Party_(United_States)	161222	0.4368	0.9826
Elaine_Chao	160932	0.373	0.9286
Gerald_Ford	160498	0.5534	0.977
Robin_Wright	160321	0.5242	0.9221
Jimmy_Carter	160077	0.3881	0.9523
UFC_Fight_Night_185	158815	0.9539	0.7857
Jonathan_Bailey_(actor)	158760	0.4639	0.7174
Vera-Ellen	158347	0.2217	0.6923
